onset	duration	trial_type	electrodes_involved_onset	electrodes_involved_offset	sample_start	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_site_num	electrical_stimulation_current	notes	status	status_description
890.53466796875	0.0002	electrical_stimulation	n/a	n/a	2579527	biphasic	RA6-RA7	6-7	6.0 mA	n/a	good	n/a
895.03369140625	0.0002	electrical_stimulation	n/a	n/a	2588741	biphasic	RA6-RA7	6-7	6.0 mA	n/a	good	n/a
931.708984375	0.0002	electrical_stimulation	n/a	n/a	2663852	biphasic	RA6-RA7	6-7	6.0 mA	n/a	good	n/a
935.48876953125	0.0002	electrical_stimulation	n/a	n/a	2671593	biphasic	RA6-RA7	6-7	6.0 mA	n/a	good	n/a
939.85205078125	0.0002	electrical_stimulation	n/a	n/a	2680529	biphasic	RA6-RA7	6-7	6.0 mA	n/a	good	n/a
960.84765625	0.0002	electrical_stimulation	n/a	n/a	2723528	biphasic	RA7-RA8	7-8	6.0 mA	n/a	good	n/a
965.5810546875	0.0002	electrical_stimulation	n/a	n/a	2733222	biphasic	RA7-RA8	7-8	6.0 mA	n/a	good	n/a
971.85791015625	0.0002	electrical_stimulation	n/a	n/a	2746077	biphasic	RA7-RA8	7-8	6.0 mA	n/a	good	n/a
976.58642578125	0.0002	electrical_stimulation	n/a	n/a	2755761	biphasic	RA7-RA8	7-8	6.0 mA	n/a	good	n/a
981.80517578125	0.0002	electrical_stimulation	n/a	n/a	2766449	biphasic	RA7-RA8	7-8	6.0 mA	n/a	good	n/a
987.1123046875	0.0002	electrical_stimulation	n/a	n/a	2777318	biphasic	RA7-RA8	7-8	6.0 mA	n/a	good	n/a
991.783203125	0.0002	electrical_stimulation	n/a	n/a	2786884	biphasic	RA7-RA8	7-8	6.0 mA	n/a	good	n/a
995.90185546875	0.0002	electrical_stimulation	n/a	n/a	2795319	biphasic	RA7-RA8	7-8	6.0 mA	n/a	good	n/a
1001.12060546875	0.0002	electrical_stimulation	n/a	n/a	2806007	biphasic	RA7-RA8	7-8	6.0 mA	n/a	good	n/a
1025.36376953125	0.0002	electrical_stimulation	n/a	n/a	2855657	biphasic	RA8-RA9	8-9	6.0 mA	n/a	good	n/a
1029.18505859375	0.0002	electrical_stimulation	n/a	n/a	2863483	biphasic	RA8-RA9	8-9	6.0 mA	n/a	good	n/a
1034.0908203125	0.0002	electrical_stimulation	n/a	n/a	2873530	biphasic	RA8-RA9	8-9	6.0 mA	n/a	good	n/a
1038.70458984375	0.0002	electrical_stimulation	n/a	n/a	2882979	biphasic	RA8-RA9	8-9	6.0 mA	n/a	good	n/a
1043.224609375	0.0002	electrical_stimulation	n/a	n/a	2892236	biphasic	RA8-RA9	8-9	6.0 mA	n/a	good	n/a
1048.3955078125	0.0002	electrical_stimulation	n/a	n/a	2902826	biphasic	RA8-RA9	8-9	6.0 mA	n/a	good	n/a
1052.6396484375	0.0002	electrical_stimulation	n/a	n/a	2911518	biphasic	RA8-RA9	8-9	6.0 mA	n/a	good	n/a
1056.4248046875	0.0002	electrical_stimulation	n/a	n/a	2919270	biphasic	RA8-RA9	8-9	6.0 mA	n/a	good	n/a
